scenario_id,scenario_title,hardware,workload,M,N,K,actual_cycles,tiledataflow_sim_cycles,tileflow_sim_cycles,llmcompass_cycles,tiledataflow_mape_percent,tileflow_mape_percent,llmcompass_mape_percent
h100_gemm,H100 GEMM,H100,GEMM,1024,1024,1024,26623,26770,24823,35967,0.552154,6.761071,35.097472
h100_gemm,H100 GEMM,H100,GEMM,1024,1024,1536,37657,37722,37111,53303,0.172611,1.449930,41.548716
h100_gemm,H100 GEMM,H100,GEMM,1024,1024,2048,48568,48674,49399,70639,0.218251,1.711003,45.443502
h100_gemm,H100 GEMM,H100,GEMM,1024,1536,512,15940,15926,13401,19282,0.087829,15.928482,20.966123
h100_gemm,H100 GEMM,H100,GEMM,1024,1536,1024,26703,26878,25688,36618,0.655357,3.801071,37.130659
h100_gemm,H100 GEMM,H100,GEMM,1024,1536,1536,37701,37830,37976,53954,0.342166,0.729424,43.110262
h100_gemm,H100 GEMM,H100,GEMM,1024,1536,2048,48627,48782,50264,71290,0.318753,3.366443,46.605795
h100_gemm,H100 GEMM,H100,GEMM,1024,2048,512,15909,16112,16359,19931,1.276007,2.828588,25.281287
h100_gemm,H100 GEMM,H100,GEMM,1024,2048,1024,26820,27064,31039,37267,0.909769,15.730798,38.952274
h100_gemm,H100 GEMM,H100,GEMM,1024,2048,1536,37934,38016,45719,54603,0.216165,20.522486,43.942110
h100_gemm,H100 GEMM,H100,GEMM,1024,2048,2048,48834,48968,60399,71939,0.274399,23.682271,47.313347
h100_gemm,H100 GEMM,H100,GEMM,1536,512,512,15644,15807,12289,18325,1.041933,21.445922,17.137561
h100_gemm,H100 GEMM,H100,GEMM,1536,512,1024,26602,26759,24576,35661,0.590181,7.615969,34.053831
h100_gemm,H100 GEMM,H100,GEMM,1536,512,1536,37492,37711,36864,52997,0.584125,1.675024,41.355489
h100_gemm,H100 GEMM,H100,GEMM,1536,512,2048,48503,48663,49152,70333,0.329877,1.338062,45.007525
h100_gemm,H100 GEMM,H100,GEMM,1536,1024,512,15763,15926,13401,19282,1.034067,14.984457,22.324431
h100_gemm,H100 GEMM,H100,GEMM,1536,1024,1024,26602,26878,25688,36618,1.037516,3.435832,37.651304
h100_gemm,H100 GEMM,H100,GEMM,1536,1024,1536,37588,37830,37976,53954,0.643822,1.032244,43.540492
h100_gemm,H100 GEMM,H100,GEMM,1536,1024,2048,48545,48782,50264,71290,0.488207,3.541044,46.853435
h100_gemm,H100 GEMM,H100,GEMM,1536,1536,512,15987,16328,18247,20237,2.132983,14.136486,26.584100
h100_gemm,H100 GEMM,H100,GEMM,1536,1536,1024,26874,27280,34604,37573,1.510754,28.763861,39.811714
h100_gemm,H100 GEMM,H100,GEMM,1536,1536,1536,37758,38232,50962,54909,1.255363,34.970073,45.423486
h100_gemm,H100 GEMM,H100,GEMM,1536,1536,2048,48717,49184,67320,72245,0.958598,38.185849,48.295256
h100_gemm,H100 GEMM,H100,GEMM,1536,2048,512,16515,16974,24118,21193,2.779292,46.036936,28.325764
h100_gemm,H100 GEMM,H100,GEMM,1536,2048,1024,27348,27926,45719,38529,2.113500,67.174931,40.884160
h100_gemm,H100 GEMM,H100,GEMM,1536,2048,1536,38323,38878,67319,55865,1.448216,75.662135,45.774078
h100_gemm,H100 GEMM,H100,GEMM,1536,2048,2048,49172,49830,88920,73201,1.338160,80.834621,48.867242
h100_gemm,H100 GEMM,H100,GEMM,2048,512,512,15661,15818,12562,18670,1.002490,19.788008,19.213332
h100_gemm,H100 GEMM,H100,GEMM,2048,512,1024,26562,26770,24849,36006,0.783074,6.449063,35.554552
h100_gemm,H100 GEMM,H100,GEMM,2048,512,1536,37475,37722,37137,53342,0.659106,0.901935,42.340227
h100_gemm,H100 GEMM,H100,GEMM,2048,512,2048,48396,48674,49425,70678,0.574428,2.126209,46.040995
h100_gemm,H100 GEMM,H100,GEMM,2048,1024,512,15781,16112,16359,19931,2.097459,3.662632,26.297446
h100_gemm,H100 GEMM,H100,GEMM,2048,1024,1024,26770,27064,31039,37267,1.098244,15.946956,39.211804
h100_gemm,H100 GEMM,H100,GEMM,2048,1024,1536,37674,38016,45719,54603,0.907788,21.354250,44.935499
h100_gemm,H100 GEMM,H100,GEMM,2048,1024,2048,48544,48968,60399,71939,0.873434,24.421144,48.193392
h100_gemm,H100 GEMM,H100,GEMM,2048,1536,512,16389,16974,24118,21193,3.569467,47.159680,29.312344
h100_gemm,H100 GEMM,H100,GEMM,2048,1536,1024,27449,27926,45719,38529,1.737768,66.559802,40.365769
h100_gemm,H100 GEMM,H100,GEMM,2048,1536,1536,38127,38878,67319,55865,1.969733,76.565164,46.523461
h100_gemm,H100 GEMM,H100,GEMM,2048,1536,2048,49311,49830,88920,73201,1.052503,80.324877,48.447608
h100_gemm,H100 GEMM,H100,GEMM,2048,2048,512,16881,18213,31878,22454,7.890528,88.839524,33.013447
h100_gemm,H100 GEMM,H100,GEMM,2048,2048,1024,27794,29541,60399,39790,6.285529,117.309491,43.160394
h100_gemm,H100 GEMM,H100,GEMM,2048,2048,1536,38456,40869,88920,57126,6.274704,131.225296,48.548991
h100_gemm,H100 GEMM,H100,GEMM,2048,2048,2048,49495,52197,117441,74462,5.459137,137.278513,50.443479
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,512,512,29473,28050,24576,18409,4.828148,16.615207,37.539443
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,512,1024,40769,39002,49152,35745,4.334175,20.562192,12.323089
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,512,1536,52036,49954,73728,53081,4.001076,41.686525,2.008225
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,512,2048,63374,60906,98304,70417,3.894342,55.117241,11.113390
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1024,512,29376,28050,24576,19525,4.513889,16.339869,33.534178
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1024,1024,40681,39002,49152,36861,4.127234,20.822989,9.390133
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1024,1536,52075,49954,73728,54197,4.072972,41.580413,4.074892
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1024,2048,63373,60906,98304,71533,3.892825,55.119688,12.876146
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1536,512,29613,28051,24576,20592,5.274710,17.009422,30.462972
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1536,1024,40940,39003,49152,37928,4.731314,20.058622,7.357108
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1536,1536,52197,49955,73728,55264,4.295266,41.249497,5.875817
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,1536,2048,63458,60907,98304,72600,4.019982,54.911910,14.406379
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,2048,512,29583,28094,24576,21709,5.033296,16.925261,26.616638
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,2048,1024,40978,39046,49152,39045,4.714725,19.947289,4.717165
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,2048,1536,52116,49998,73728,56381,4.064011,41.469031,8.183667
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,512,2048,2048,63643,60950,98304,73717,4.231416,54.461606,15.828921
